distortion_type,severity_level,class_id,class_name,is_foreground,total_intersection_pixels,total_union_pixels,mean_per_image_iou,std_per_image_iou,num_images,dataset_iou
low_light,mild,19,train,True,93804,99066,0.9465532594233735,0.0018805962028646927,3,0.9468838955847617
low_light,mild,20,tvmonitor,True,94454,103970,0.46521397781653945,0.49752975375357733,8,0.9084735981533134
low_light,medium,0,background,False,12124254,13146809,0.9173971133477045,0.15896460527084166,100,0.9222202893493014
low_light,medium,1,aeroplane,True,80961,102825,0.7435613588360258,0.4029472695831764,6,0.7873668854850474
low_light,medium,2,bicycle,True,27883,77468,0.2715977626010502,0.16739682305515496,5,0.35992926111426654
low_light,medium,3,bird,True,43079,51660,0.4506058085178509,0.4125962245313206,8,0.833894696089818
low_light,medium,4,boat,True,73983,134099,0.5529518996499098,0.3488766051889312,5,0.5517043378399541
low_light,medium,5,bottle,True,80496,89213,0.4209370411365268,0.45108483587665194,10,0.902290024996357
low_light,medium,6,bus,True,559341,579471,0.9706763774411067,0.025141840255203104,8,0.9652614194670657
low_light,medium,7,car,True,200433,288757,0.7909513910838583,0.31145322094097233,11,0.6941234325055323
low_light,medium,8,cat,True,253055,274277,0.7362667033276846,0.39756355878017063,10,0.9226256667529541
low_light,medium,9,chair,True,109582,392766,0.31567857177835873,0.3858142764356963,23,0.2790007281689352
low_light,medium,10,cow,True,93038,109307,0.48821173655861383,0.563795998112576,4,0.8511623226325853
low_light,medium,11,diningtable,True,154788,223512,0.5372389690957866,0.3684625295081941,8,0.6925265757543219
low_light,medium,12,dog,True,246567,283351,0.6549764356053978,0.43089567677232704,8,0.8701822121679472
low_light,medium,13,horse,True,273674,306278,0.8138679732031537,0.32042768992161696,5,0.8935476919661223
low_light,medium,14,motorbike,True,307311,340011,0.7712014783234142,0.3442012134548161,7,0.9038266409027943
low_light,medium,15,person,True,825515,972237,0.6778585381318276,0.38564589330048843,40,0.8490882367159448
low_light,medium,16,pottedplant,True,85093,119304,0.34192928325551947,0.3374823320496397,15,0.7132451552336887
low_light,medium,17,sheep,True,134750,155826,0.7220738972434442,0.4816390204326692,4,0.8647465763094734
low_light,medium,18,sofa,True,157050,497532,0.3376681492042939,0.35852321881420374,12,0.3156580883239671
low_light,medium,19,train,True,88852,99045,0.8898738601954278,0.06517667469122637,3,0.8970871825937705
low_light,medium,20,tvmonitor,True,94555,101328,0.6097057689281288,0.4733386800605581,6,0.9331576661929575
low_light,severe,0,background,False,12194469,13411018,0.9013043157714061,0.1608471695526119,100,0.9092873486561572
low_light,severe,1,aeroplane,True,79695,98853,0.7408227219015878,0.39876915081380854,6,0.8061970805134897
low_light,severe,2,bicycle,True,27209,76901,0.26788931960999196,0.16056659933713824,5,0.3538185459226798
low_light,severe,3,bird,True,44187,51054,0.3427116075402281,0.4731584342466711,8,0.8654953578563873
low_light,severe,4,boat,True,47435,129830,0.3109892264113171,0.36630337272991925,5,0.365362396980667
low_light,severe,5,bottle,True,70422,92173,0.3360060019594038,0.43651447658305986,9,0.7640198322719235
low_light,severe,6,bus,True,548017,579982,0.9526900861364485,0.04518900665251376,8,0.9448862206068465
low_light,severe,7,car,True,186555,291113,0.5663442693023967,0.4236466871401926,12,0.6408336281787484
low_light,severe,8,cat,True,220734,274405,0.815228278406662,0.19147654182523932,8,0.804409540642481
low_light,severe,9,chair,True,98080,406163,0.2569980109470128,0.33167584534829153,22,0.24147940605126514
low_light,severe,10,cow,True,92423,101620,0.48061945528160993,0.5522063894868188,4,0.9094961621728006
low_light,severe,11,diningtable,True,135219,206225,0.5126569052430172,0.3182774304481302,7,0.6556867499090799
low_light,severe,12,dog,True,233624,292807,0.6033580750220122,0.48423262658667887,8,0.7978770999327202
low_light,severe,13,horse,True,270498,303189,0.7942643421853026,0.35146865844823,5,0.8921761673411635
low_light,severe,14,motorbike,True,298619,348399,0.7397249380278392,0.33131809842888305,7,0.8571178447699334
low_light,severe,15,person,True,785068,951511,0.6696465838370613,0.36596709486856127,38,0.825075064817958
low_light,severe,16,pottedplant,True,55903,109614,0.2111923043220196,0.29836785362615104,14,0.5099987227908844
low_light,severe,17,sheep,True,130593,155749,0.7049782951211552,0.4712932634212872,4,0.8384837141811504
low_light,severe,18,sofa,True,118541,482465,0.30409642336761733,0.283855437394883,10,0.2456986517156685
low_light,severe,19,train,True,62539,100274,0.5786893108896757,0.46924958196094235,3,0.6236811137483296
low_light,severe,20,tvmonitor,True,94335,101826,0.8902373514840988,0.054824685909747754,4,0.9264333274409287
