dataset_index,image_id,distortion_type,severity_level,parameter_value,snr_db,mean_iou_all_classes,mean_iou_foreground,num_evaluated_classes,num_evaluated_foreground_classes
195,2007_006490,jpeg_compression,medium,20.0,28.14710510856657,0.5923266899860746,0.46674486499861495,4,3
195,2007_006490,jpeg_compression,severe,5.0,21.922265380554492,0.4488639243761607,0.28309785452642594,4,3
195,2007_006490,low_light,mild,0.6,7.90666777394418,0.834517211939289,0.7811674001787242,4,3
195,2007_006490,low_light,medium,0.35,3.704136509468294,0.6940272535192831,0.5960063959097608,4,3
195,2007_006490,low_light,severe,0.15,1.3821638347180834,0.5210979421398192,0.3765577100248372,4,3
196,2007_006530,gaussian_noise,mild,10.0,22.727256721189217,0.376843734826207,0.17723259452318005,4,3
196,2007_006530,gaussian_noise,medium,25.0,14.951834429418309,0.3614168257859759,0.17468676472846037,4,3
196,2007_006530,gaussian_noise,severe,50.0,9.475388714210576,0.2634531499094601,0.09013965080122123,4,3
196,2007_006530,jpeg_compression,mild,50.0,24.588804916618674,0.3548769279304156,0.1540531439961508,4,3
196,2007_006530,jpeg_compression,medium,20.0,21.74482576918702,0.4827074057301612,0.27649937712998507,3,2
196,2007_006530,jpeg_compression,severe,5.0,17.513040546326607,0.2241752101917653,0.0,3,2
196,2007_006530,low_light,mild,0.6,7.9030620853864555,0.547892119348225,0.3374876115570159,3,2
196,2007_006530,low_light,medium,0.35,3.700694736055739,0.5461010431751487,0.3321640604560365,3,2
196,2007_006530,low_light,severe,0.15,1.380344231992877,0.5712241485258437,0.37061000688033596,3,2
202,2007_006660,gaussian_noise,mild,10.0,21.946187044333595,0.8328590845360971,0.8131118876613048,3,2
202,2007_006660,gaussian_noise,medium,25.0,14.113453335610899,0.5080472215123298,0.4140873557601619,4,3
202,2007_006660,gaussian_noise,severe,50.0,8.453118424726043,0.44993894824919645,0.3569140934059791,4,3
202,2007_006660,jpeg_compression,mild,50.0,22.44935798008775,0.818636087134787,0.7960261987036489,3,2
202,2007_006660,jpeg_compression,medium,20.0,19.08183651789038,0.6174684215028873,0.5422600407085737,3,2
202,2007_006660,jpeg_compression,severe,5.0,15.218170706070328,0.39089908362795406,0.22951013948918633,3,2
202,2007_006660,low_light,mild,0.6,7.89801269958322,0.7566226624692379,0.7249211877178967,3,2
202,2007_006660,low_light,medium,0.35,3.6963050011679144,0.6425778151017073,0.5887180062134153,3,2
202,2007_006660,low_light,severe,0.15,1.3769994247905417,0.5583650782109215,0.4852933326215769,3,2
204,2007_006673,gaussian_noise,mild,10.0,21.38449992508943,0.46784665053163094,0.21655603778401838,3,2
204,2007_006673,gaussian_noise,medium,25.0,13.442635919100924,0.3997911665063538,0.118717277486911,3,2
204,2007_006673,gaussian_noise,severe,50.0,7.566452965270755,0.47916206632288566,0.0,2,1
204,2007_006673,jpeg_compression,mild,50.0,29.214614216930382,0.47595106418566707,0.2285519464418547,3,2
204,2007_006673,jpeg_compression,medium,20.0,26.10244238165798,0.5002135460647674,0.04065166795965865,2,1
204,2007_006673,jpeg_compression,severe,5.0,21.702102926746623,0.47916206632288566,0.0,2,1
204,2007_006673,low_light,mild,0.6,7.886233354395423,0.44363646800494,0.18231454750847245,3,2
204,2007_006673,low_light,medium,0.35,3.692418997312514,0.3690905845076367,0.07232893157262905,3,2
204,2007_006673,low_light,severe,0.15,1.3717603245346912,0.47916206632288566,0.0,2,1
210,2007_006899,gaussian_noise,mild,10.0,22.324886135832756,0.24848335648595896,0.0,4,3
210,2007_006899,gaussian_noise,medium,25.0,14.4771718040967,0.2480582822489699,0.0,4,3
210,2007_006899,gaussian_noise,severe,50.0,8.833568695071722,0.24809635201797658,0.0,4,3
