dataset_index,image_id,distortion_type,severity_level,parameter_value,num_ground_truth_objects,num_predictions,true_positives,false_positives,false_negatives,precision,recall,f1_score,mean_matched_iou
284,2007_009436,gaussian_noise,severe,50.0,3,1,1,0,2,1.0,0.3333333333333333,0.5,0.867328058885954
284,2007_009436,jpeg_compression,mild,50.0,3,2,1,1,2,0.5,0.3333333333333333,0.4,0.8898196206830551
284,2007_009436,jpeg_compression,medium,20.0,3,1,1,0,2,1.0,0.3333333333333333,0.5,0.8849269630488074
284,2007_009436,jpeg_compression,severe,5.0,3,1,1,0,2,1.0,0.3333333333333333,0.5,0.6031311882876677
284,2007_009436,low_light,mild,0.6,3,5,3,2,0,0.6,1.0,0.7499999999999999,0.9123691092893647
284,2007_009436,low_light,medium,0.35,3,4,2,2,1,0.5,0.6666666666666666,0.5714285714285715,0.941673399716316
284,2007_009436,low_light,severe,0.15,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9487882177787607
317,2008_000103,gaussian_noise,mild,10.0,1,1,1,0,0,1.0,1.0,1.0,0.9793350306750912
317,2008_000103,gaussian_noise,medium,25.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.9550951737029127
317,2008_000103,gaussian_noise,severe,50.0,1,1,0,1,1,0.0,0.0,0.0,0.0
317,2008_000103,jpeg_compression,mild,50.0,1,1,1,0,0,1.0,1.0,1.0,0.9654786976859401
317,2008_000103,jpeg_compression,medium,20.0,1,1,1,0,0,1.0,1.0,1.0,0.9626943268498576
317,2008_000103,jpeg_compression,severe,5.0,1,1,0,1,1,0.0,0.0,0.0,0.0
317,2008_000103,low_light,mild,0.6,1,1,1,0,0,1.0,1.0,1.0,0.9731681343272125
317,2008_000103,low_light,medium,0.35,1,1,1,0,0,1.0,1.0,1.0,0.9748685579207388
317,2008_000103,low_light,severe,0.15,1,1,1,0,0,1.0,1.0,1.0,0.9626028446860369
325,2008_000207,gaussian_noise,mild,10.0,1,1,1,0,0,1.0,1.0,1.0,0.9464930345649054
325,2008_000207,gaussian_noise,medium,25.0,1,1,1,0,0,1.0,1.0,1.0,0.9556248645608723
325,2008_000207,gaussian_noise,severe,50.0,1,1,1,0,0,1.0,1.0,1.0,0.9618029566302659
325,2008_000207,jpeg_compression,mild,50.0,1,1,1,0,0,1.0,1.0,1.0,0.9518698878869364
325,2008_000207,jpeg_compression,medium,20.0,1,1,1,0,0,1.0,1.0,1.0,0.9694430751675192
325,2008_000207,jpeg_compression,severe,5.0,1,0,0,0,1,0.0,0.0,0.0,0.0
325,2008_000207,low_light,mild,0.6,1,1,1,0,0,1.0,1.0,1.0,0.9759633577917918
325,2008_000207,low_light,medium,0.35,1,1,1,0,0,1.0,1.0,1.0,0.9667864799458465
325,2008_000207,low_light,severe,0.15,1,1,1,0,0,1.0,1.0,1.0,0.9515155023902274
331,2008_000273,gaussian_noise,mild,10.0,4,3,1,2,3,0.3333333333333333,0.25,0.28571428571428575,0.766921164017423
331,2008_000273,gaussian_noise,medium,25.0,4,0,0,0,4,0.0,0.0,0.0,0.0
331,2008_000273,gaussian_noise,severe,50.0,4,1,0,1,4,0.0,0.0,0.0,0.0
331,2008_000273,jpeg_compression,mild,50.0,4,2,0,2,4,0.0,0.0,0.0,0.0
331,2008_000273,jpeg_compression,medium,20.0,4,1,0,1,4,0.0,0.0,0.0,0.0
331,2008_000273,jpeg_compression,severe,5.0,4,0,0,0,4,0.0,0.0,0.0,0.0
331,2008_000273,low_light,mild,0.6,4,2,1,1,3,0.5,0.25,0.3333333333333333,0.8983418085001915
331,2008_000273,low_light,medium,0.35,4,1,0,1,4,0.0,0.0,0.0,0.0
331,2008_000273,low_light,severe,0.15,4,1,0,1,4,0.0,0.0,0.0,0.0
352,2008_000540,gaussian_noise,mild,10.0,1,1,1,0,0,1.0,1.0,1.0,0.9833084450122357
352,2008_000540,gaussian_noise,medium,25.0,1,1,1,0,0,1.0,1.0,1.0,0.9881022521472318
352,2008_000540,gaussian_noise,severe,50.0,1,1,1,0,0,1.0,1.0,1.0,0.9348790955650552
352,2008_000540,jpeg_compression,mild,50.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.9779763573718672
352,2008_000540,jpeg_compression,medium,20.0,1,1,1,0,0,1.0,1.0,1.0,0.9147573191650856
352,2008_000540,jpeg_compression,severe,5.0,1,0,0,0,1,0.0,0.0,0.0,0.0
352,2008_000540,low_light,mild,0.6,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.9825747084053728
352,2008_000540,low_light,medium,0.35,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.9826166143042079
352,2008_000540,low_light,severe,0.15,1,1,1,0,0,1.0,1.0,1.0,0.9799403595361008
356,2008_000584,gaussian_noise,mild,10.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.8282164680803402
356,2008_000584,gaussian_noise,medium,25.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.8588351013115934
356,2008_000584,gaussian_noise,severe,50.0,1,1,1,0,0,1.0,1.0,1.0,0.8512156734967113
356,2008_000584,jpeg_compression,mild,50.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.8350256698682891
356,2008_000584,jpeg_compression,medium,20.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.8318950357977073
356,2008_000584,jpeg_compression,severe,5.0,1,0,0,0,1,0.0,0.0,0.0,0.0
356,2008_000584,low_light,mild,0.6,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.8096217235415002
356,2008_000584,low_light,medium,0.35,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.8069094254034471
356,2008_000584,low_light,severe,0.15,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.8121557330027347
358,2008_000595,gaussian_noise,mild,10.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.9510447563365837
358,2008_000595,gaussian_noise,medium,25.0,1,1,1,0,0,1.0,1.0,1.0,0.916227114463469
358,2008_000595,gaussian_noise,severe,50.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.8122522585224787
358,2008_000595,jpeg_compression,mild,50.0,1,1,1,0,0,1.0,1.0,1.0,0.9507367125117381
358,2008_000595,jpeg_compression,medium,20.0,1,1,1,0,0,1.0,1.0,1.0,0.943857722492031
358,2008_000595,jpeg_compression,severe,5.0,1,1,1,0,0,1.0,1.0,1.0,0.8964459214888456
358,2008_000595,low_light,mild,0.6,1,1,1,0,0,1.0,1.0,1.0,0.9460778319769564
358,2008_000595,low_light,medium,0.35,1,1,1,0,0,1.0,1.0,1.0,0.93909145071849
358,2008_000595,low_light,severe,0.15,1,1,1,0,0,1.0,1.0,1.0,0.9318847369122337
360,2008_000645,gaussian_noise,mild,10.0,1,1,0,1,1,0.0,0.0,0.0,0.0
360,2008_000645,gaussian_noise,medium,25.0,1,0,0,0,1,0.0,0.0,0.0,0.0
360,2008_000645,gaussian_noise,severe,50.0,1,0,0,0,1,0.0,0.0,0.0,0.0
360,2008_000645,jpeg_compression,mild,50.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.9721400480736215
360,2008_000645,jpeg_compression,medium,20.0,1,0,0,0,1,0.0,0.0,0.0,0.0
360,2008_000645,jpeg_compression,severe,5.0,1,2,0,2,1,0.0,0.0,0.0,0.0
360,2008_000645,low_light,mild,0.6,1,3,1,2,0,0.3333333333333333,1.0,0.5,0.9342219139947276
360,2008_000645,low_light,medium,0.35,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.936156842399989
360,2008_000645,low_light,severe,0.15,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.9418561198228405
375,2008_000923,gaussian_noise,mild,10.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.8134798562231067
375,2008_000923,gaussian_noise,medium,25.0,1,1,1,0,0,1.0,1.0,1.0,0.7601837136483636
375,2008_000923,gaussian_noise,severe,50.0,1,0,0,0,1,0.0,0.0,0.0,0.0
375,2008_000923,jpeg_compression,mild,50.0,1,1,1,0,0,1.0,1.0,1.0,0.7718265030310091
375,2008_000923,jpeg_compression,medium,20.0,1,1,1,0,0,1.0,1.0,1.0,0.8474189865992853
375,2008_000923,jpeg_compression,severe,5.0,1,0,0,0,1,0.0,0.0,0.0,0.0
375,2008_000923,low_light,mild,0.6,1,3,1,2,0,0.3333333333333333,1.0,0.5,0.8103378942369742
375,2008_000923,low_light,medium,0.35,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.8131766174961244
375,2008_000923,low_light,severe,0.15,1,1,1,0,0,1.0,1.0,1.0,0.8380052034393538
400,2008_001462,gaussian_noise,mild,10.0,1,1,1,0,0,1.0,1.0,1.0,0.7169902708987411
400,2008_001462,gaussian_noise,medium,25.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.7227571933262337
400,2008_001462,gaussian_noise,severe,50.0,1,1,1,0,0,1.0,1.0,1.0,0.7261778477969332
400,2008_001462,jpeg_compression,mild,50.0,1,1,1,0,0,1.0,1.0,1.0,0.728204033349013
400,2008_001462,jpeg_compression,medium,20.0,1,1,1,0,0,1.0,1.0,1.0,0.7191675740246224
400,2008_001462,jpeg_compression,severe,5.0,1,0,0,0,1,0.0,0.0,0.0,0.0
400,2008_001462,low_light,mild,0.6,1,1,1,0,0,1.0,1.0,1.0,0.7553560242699048
400,2008_001462,low_light,medium,0.35,1,1,1,0,0,1.0,1.0,1.0,0.7510340184218234
400,2008_001462,low_light,severe,0.15,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.7405547791163563
431,2008_002123,gaussian_noise,mild,10.0,10,8,7,1,3,0.875,0.7,0.7777777777777777,0.8734616823861104
431,2008_002123,gaussian_noise,medium,25.0,10,9,7,2,3,0.7777777777777778,0.7,0.7368421052631577,0.8549247158896878
431,2008_002123,gaussian_noise,severe,50.0,10,6,6,0,4,1.0,0.6,0.7499999999999999,0.833367306394793
431,2008_002123,jpeg_compression,mild,50.0,10,9,8,1,2,0.8888888888888888,0.8,0.8421052631578948,0.8553857269890113
431,2008_002123,jpeg_compression,medium,20.0,10,7,7,0,3,1.0,0.7,0.8235294117647058,0.8305570817145244
431,2008_002123,jpeg_compression,severe,5.0,10,0,0,0,10,0.0,0.0,0.0,0.0
431,2008_002123,low_light,mild,0.6,10,9,8,1,2,0.8888888888888888,0.8,0.8421052631578948,0.8519933892297277
431,2008_002123,low_light,medium,0.35,10,9,8,1,2,0.8888888888888888,0.8,0.8421052631578948,0.8464721818680014
431,2008_002123,low_light,severe,0.15,10,8,8,0,2,1.0,0.8,0.888888888888889,0.8291760125074227
440,2008_002221,gaussian_noise,mild,10.0,1,1,1,0,0,1.0,1.0,1.0,0.984660314553531
440,2008_002221,gaussian_noise,medium,25.0,1,1,1,0,0,1.0,1.0,1.0,0.9762172113590772
440,2008_002221,gaussian_noise,severe,50.0,1,1,0,1,1,0.0,0.0,0.0,0.0
440,2008_002221,jpeg_compression,mild,50.0,1,1,1,0,0,1.0,1.0,1.0,0.9816876724027658
440,2008_002221,jpeg_compression,medium,20.0,1,1,1,0,0,1.0,1.0,1.0,0.9812709148802389
440,2008_002221,jpeg_compression,severe,5.0,1,3,1,2,0,0.3333333333333333,1.0,0.5,0.6890867522193217
440,2008_002221,low_light,mild,0.6,1,1,1,0,0,1.0,1.0,1.0,0.9868293745907794
440,2008_002221,low_light,medium,0.35,1,1,1,0,0,1.0,1.0,1.0,0.9897736512574432
440,2008_002221,low_light,severe,0.15,1,1,1,0,0,1.0,1.0,1.0,0.9904490661538143
444,2008_002258,gaussian_noise,mild,10.0,1,1,0,1,1,0.0,0.0,0.0,0.0
444,2008_002258,gaussian_noise,medium,25.0,1,1,1,0,0,1.0,1.0,1.0,0.9825922235183822
444,2008_002258,gaussian_noise,severe,50.0,1,3,1,2,0,0.3333333333333333,1.0,0.5,0.9689933689554462
444,2008_002258,jpeg_compression,mild,50.0,1,2,0,2,1,0.0,0.0,0.0,0.0
444,2008_002258,jpeg_compression,medium,20.0,1,1,0,1,1,0.0,0.0,0.0,0.0
444,2008_002258,jpeg_compression,severe,5.0,1,1,0,1,1,0.0,0.0,0.0,0.0
444,2008_002258,low_light,mild,0.6,1,1,0,1,1,0.0,0.0,0.0,0.0
444,2008_002258,low_light,medium,0.35,1,1,0,1,1,0.0,0.0,0.0,0.0
444,2008_002258,low_light,severe,0.15,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.9779597319871596
456,2008_002710,gaussian_noise,mild,10.0,1,1,1,0,0,1.0,1.0,1.0,0.983948014009246
456,2008_002710,gaussian_noise,medium,25.0,1,1,1,0,0,1.0,1.0,1.0,0.9851965942918691
456,2008_002710,gaussian_noise,severe,50.0,1,1,1,0,0,1.0,1.0,1.0,0.9856197399367687
456,2008_002710,jpeg_compression,mild,50.0,1,1,1,0,0,1.0,1.0,1.0,0.9791043972346233
456,2008_002710,jpeg_compression,medium,20.0,1,1,1,0,0,1.0,1.0,1.0,0.9740902292979321
456,2008_002710,jpeg_compression,severe,5.0,1,1,0,1,1,0.0,0.0,0.0,0.0
456,2008_002710,low_light,mild,0.6,1,1,1,0,0,1.0,1.0,1.0,0.9909915509207385
456,2008_002710,low_light,medium,0.35,1,1,1,0,0,1.0,1.0,1.0,0.9862903923260226
456,2008_002710,low_light,severe,0.15,1,1,1,0,0,1.0,1.0,1.0,0.977891027128429
469,2008_003060,gaussian_noise,mild,10.0,6,7,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8364343930332965
469,2008_003060,gaussian_noise,medium,25.0,6,6,2,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7453334460402943
469,2008_003060,gaussian_noise,severe,50.0,6,2,1,1,5,0.5,0.16666666666666666,0.25,0.9636965029774466
469,2008_003060,jpeg_compression,mild,50.0,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.816236877792905
469,2008_003060,jpeg_compression,medium,20.0,6,5,4,1,2,0.8,0.6666666666666666,0.7272727272727272,0.8197082361270193
469,2008_003060,jpeg_compression,severe,5.0,6,1,0,1,6,0.0,0.0,0.0,0.0
469,2008_003060,low_light,mild,0.6,6,7,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8382917693470945
469,2008_003060,low_light,medium,0.35,6,7,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8347434962236583
469,2008_003060,low_light,severe,0.15,6,6,3,3,3,0.5,0.5,0.5,0.806049258788032
474,2008_003094,gaussian_noise,mild,10.0,4,5,3,2,1,0.6,0.75,0.6666666666666665,0.8974843780883672
474,2008_003094,gaussian_noise,medium,25.0,4,5,3,2,1,0.6,0.75,0.6666666666666665,0.8967347064435427
474,2008_003094,gaussian_noise,severe,50.0,4,3,0,3,4,0.0,0.0,0.0,0.0
474,2008_003094,jpeg_compression,mild,50.0,4,6,3,3,1,0.5,0.75,0.6,0.8999667905999148
474,2008_003094,jpeg_compression,medium,20.0,4,5,3,2,1,0.6,0.75,0.6666666666666665,0.8336988432367676
474,2008_003094,jpeg_compression,severe,5.0,4,1,0,1,4,0.0,0.0,0.0,0.0
474,2008_003094,low_light,mild,0.6,4,5,3,2,1,0.6,0.75,0.6666666666666665,0.9005928084490143
474,2008_003094,low_light,medium,0.35,4,6,3,3,1,0.5,0.75,0.6,0.8975515033872865
474,2008_003094,low_light,severe,0.15,4,5,2,3,2,0.4,0.5,0.4444444444444445,0.927249155439491
490,2008_003523,gaussian_noise,mild,10.0,6,4,2,2,4,0.5,0.3333333333333333,0.4,0.8409347348700476
490,2008_003523,gaussian_noise,medium,25.0,6,3,1,2,5,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.7691797492928534
490,2008_003523,gaussian_noise,severe,50.0,6,2,1,1,5,0.5,0.16666666666666666,0.25,0.8808666314149355
490,2008_003523,jpeg_compression,mild,50.0,6,2,1,1,5,0.5,0.16666666666666666,0.25,0.7713127088321262
490,2008_003523,jpeg_compression,medium,20.0,6,1,1,0,5,1.0,0.16666666666666666,0.2857142857142857,0.7673173182845374
490,2008_003523,jpeg_compression,severe,5.0,6,0,0,0,6,0.0,0.0,0.0,0.0
490,2008_003523,low_light,mild,0.6,6,3,2,1,4,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.8537782142221733
490,2008_003523,low_light,medium,0.35,6,4,2,2,4,0.5,0.3333333333333333,0.4,0.8531605054385073
490,2008_003523,low_light,severe,0.15,6,6,3,3,3,0.5,0.5,0.5,0.8794940494667581
492,2008_003585,gaussian_noise,mild,10.0,1,4,1,3,0,0.25,1.0,0.4,0.9014417271139206
492,2008_003585,gaussian_noise,medium,25.0,1,5,1,4,0,0.2,1.0,0.33333333333333337,0.8929083446458392
492,2008_003585,gaussian_noise,severe,50.0,1,1,1,0,0,1.0,1.0,1.0,0.6600296703254659
492,2008_003585,jpeg_compression,mild,50.0,1,5,1,4,0,0.2,1.0,0.33333333333333337,0.8740013562984
492,2008_003585,jpeg_compression,medium,20.0,1,3,1,2,0,0.3333333333333333,1.0,0.5,0.8904463499407503
492,2008_003585,jpeg_compression,severe,5.0,1,1,1,0,0,1.0,1.0,1.0,0.6562686837155931
492,2008_003585,low_light,mild,0.6,1,5,1,4,0,0.2,1.0,0.33333333333333337,0.8834505750527234
492,2008_003585,low_light,medium,0.35,1,4,1,3,0,0.25,1.0,0.4,0.878538287403235
492,2008_003585,low_light,severe,0.15,1,3,1,2,0,0.3333333333333333,1.0,0.5,0.8793359641360559
520,2008_004547,gaussian_noise,mild,10.0,1,1,1,0,0,1.0,1.0,1.0,0.9407802216945296
520,2008_004547,gaussian_noise,medium,25.0,1,1,1,0,0,1.0,1.0,1.0,0.5910154144949498
520,2008_004547,gaussian_noise,severe,50.0,1,0,0,0,1,0.0,0.0,0.0,0.0
520,2008_004547,jpeg_compression,mild,50.0,1,1,1,0,0,1.0,1.0,1.0,0.8486435301739961
520,2008_004547,jpeg_compression,medium,20.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.8941032070305355
520,2008_004547,jpeg_compression,severe,5.0,1,0,0,0,1,0.0,0.0,0.0,0.0
