dataset_index,distortion_type,severity_level,parameter_value,class_id,iou
211,low_light,severe,0.15,0,0.9722057675853055
211,low_light,severe,0.15,7,0.9604580234362459
214,gaussian_noise,mild,10.0,0,0.6871794871794872
214,gaussian_noise,mild,10.0,5,0.864693980778958
214,gaussian_noise,mild,10.0,9,0.6955390818051762
214,gaussian_noise,mild,10.0,11,0.8108690472490703
214,gaussian_noise,mild,10.0,16,0.0
214,gaussian_noise,mild,10.0,20,0.0
214,gaussian_noise,medium,25.0,0,0.6736261415826427
214,gaussian_noise,medium,25.0,5,0.848279326802311
214,gaussian_noise,medium,25.0,9,0.6994159636599611
214,gaussian_noise,medium,25.0,11,0.8072240416104797
214,gaussian_noise,medium,25.0,16,0.0
214,gaussian_noise,severe,50.0,0,0.6385001673920322
214,gaussian_noise,severe,50.0,5,0.7846437023402577
214,gaussian_noise,severe,50.0,9,0.4798653198653199
214,gaussian_noise,severe,50.0,11,0.7877116755793226
214,gaussian_noise,severe,50.0,15,0.0
214,jpeg_compression,mild,50.0,0,0.686542474678068
214,jpeg_compression,mild,50.0,5,0.8550463439752832
214,jpeg_compression,mild,50.0,9,0.7463062572342888
214,jpeg_compression,mild,50.0,11,0.7967130013072157
214,jpeg_compression,mild,50.0,15,0.0
214,jpeg_compression,mild,50.0,16,0.0
214,jpeg_compression,mild,50.0,20,0.0
214,jpeg_compression,medium,20.0,0,0.6609320965305434
214,jpeg_compression,medium,20.0,5,0.8437821171634121
214,jpeg_compression,medium,20.0,9,0.6692370683772348
214,jpeg_compression,medium,20.0,11,0.7688875524991028
214,jpeg_compression,medium,20.0,16,0.0
214,jpeg_compression,severe,5.0,0,0.6097822980417664
214,jpeg_compression,severe,5.0,5,0.06040938592111832
214,jpeg_compression,severe,5.0,9,0.0
214,jpeg_compression,severe,5.0,11,0.7426902989678003
214,low_light,mild,0.6,0,0.7363038525269263
214,low_light,mild,0.6,5,0.8707430340557275
214,low_light,mild,0.6,9,0.6616430803161184
214,low_light,mild,0.6,11,0.8658044588262487
214,low_light,mild,0.6,16,0.0
214,low_light,mild,0.6,20,0.0
214,low_light,medium,0.35,0,0.7085766284977629
214,low_light,medium,0.35,5,0.8721286370597243
214,low_light,medium,0.35,9,0.6145671332296526
214,low_light,medium,0.35,11,0.8370101299498619
214,low_light,medium,0.35,16,0.0
214,low_light,medium,0.35,20,0.0
214,low_light,severe,0.15,0,0.6634861172322609
214,low_light,severe,0.15,5,0.8711839166046166
214,low_light,severe,0.15,9,0.35746767088247833
214,low_light,severe,0.15,11,0.7757977147253615
215,gaussian_noise,mild,10.0,0,0.9249273063706054
215,gaussian_noise,mild,10.0,5,0.0
215,gaussian_noise,mild,10.0,15,0.9330900819788656
215,gaussian_noise,mild,10.0,17,0.9550616626741194
215,gaussian_noise,medium,25.0,0,0.7960835397625352
215,gaussian_noise,medium,25.0,5,0.0
215,gaussian_noise,medium,25.0,15,0.880678077682686
215,gaussian_noise,medium,25.0,17,0.897714530932045
